"Site"	"n_mean"	"n_sd"	"L_mean"	"L_sd"	"C_mean"	"C_sd"	"Modularity_mean"	"Modularity_sd"	"Mean_trophic_level_mean"	"Mean_trophic_level_sd"	"Mean_Omnivory_Index_mean"	"Mean_Omnivory_Index_sd"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"
"1"	"100"	34.517	3.43591567366205	249.718	55.2915330736057	0.207484171846106	0.020488297067127	0.0589134828408206	0.0479072846292209	2.77522173924404	0.13384369244701	0.333262418070713	0.0870996145096062	"Briere"	0.037828692	0.285287742	0.554322988	0.028634105	1987.679437	0	"intermediaire"	37.38	87.15	21.8	1.2	0	0	"Permanent"	"Agricole"	10	600.26552984
"2"	"101"	42.684	3.29651497964305	380.686	65.7177923566535	0.207580689665219	0.0152490803139092	0.0302232365622791	0.0367010456237092	2.88892319231927	0.103035615431368	0.358148263754086	0.0686155161945642	"Briere"	0.046113988	0.296274602	0.597429248	0.026819522	1356.661423	1	"beaucoup"	95.43	484.44	19.54	1.2	0	0	"Permanent"	"Agricole"	50	369.584276851
"3"	"1011"	40.68	3.3557206172238	345.688	63.1445000287744	0.207381485241666	0.0158509969206797	0.0384688714863309	0.040290874266962	2.85985013688005	0.110848534250877	0.349022334171871	0.0723128769984653	"Briere"	0.051968793	0.057297595	0.641160666	0.216715066	1213.774599	2	"peu"	81.87	348.02	16.04	0.4	0	1	"Temporaire"	"Recreationnel"	30	446.811718668
"4"	"1016"	45.621	3.25698740663316	434.805	68.4009332002325	0.207803877227833	0.0135967167820508	0.0234264001256337	0.0327202770237419	2.92740804591819	0.101017899902181	0.372066264421863	0.0696627227629933	"Briere"	0.424565654	0.254446551	0.257066864	0.035720376	489.9941207	3	"peu"	146.56	1079.13	20.35	1	1	0	"Permanent"	"Recreationnel"	95	606.372590732
"5"	"1038"	16.75	3.39986162351632	59.412	25.8050025025024	0.203054688023917	0.0344322828420872	0.122827975497377	0.0602871370354311	2.28399547138576	0.205503603541356	0.237491647864052	0.0912838206882459	"Mes"	0.085426859	0.302328369	0.376948625	0.177097769	1524.011903	3	"beaucoup"	35.53	82.22	29.9	3.69939854	1	0	"Permanent"	"Recreationnel"	NA	2169.83644975
"6"	"1038bis"	17.448	3.41276177647121	64.826	27.1939558585219	0.204359374694239	0.0336805968169204	0.120918002617407	0.0602454873532696	2.30947697499825	0.202576680262189	0.240719792607161	0.0912080406398916	"Mes"	0.090478864	0.316133551	0.357603816	0.171891432	1627.795889	5	"intermediaire"	43.08	108.86	15.82	0.7	1	0	"Permanent"	"Recreationnel"	NA	2173.93975892
"7"	"104"	36.464	3.38321594790373	279.186	56.5752433681214	0.208174139883	0.0189191199078634	0.0530381472551296	0.0462554364883976	2.80981973720802	0.120215729999943	0.340481036926748	0.0808386855671035	"Briere"	0.245368627	0.286136331	0.075456337	0.020280111	1359.721057	1	"intermediaire"	26.27	52.27	16.04	0.6	1	0	"Temporaire"	"Agricole"	NA	7.70789835116
"8"	"1040"	52.168	2.92272446842297	567.005	69.5954920056429	0.207657818884473	0.0103487718607788	0.0100242417621718	0.0176225658095264	2.99796977797211	0.0762761318549777	0.393018952283031	0.0539348729637343	"Briere"	0.06192122	0	0.625990328	0.01584028	1995.787044	2	"peu"	173.7	2142.52	16.92	2.509043622	1	1	"Permanent"	"Agricole"	10	9.68302464485
"9"	"105"	36.123	3.33661565122566	273.256	57.0878751530436	0.207479978091753	0.0191967439851229	0.053001668854257	0.0469599292944898	2.79752326075543	0.126544994418242	0.336539031707911	0.0825668558238854	"Briere"	0.33479565	0.194832657	0.395733099	0.029719842	1528.128917	1	"peu"	30.81	61.88	35.47	1.4	0	0	NA	"Agricole"	NA	170.176153905
"10"	"106"	33.015	3.30933931876541	228.878	49.9247593644436	0.208088463248803	0.0208898249488544	0.0644371943205363	0.0468961215411101	2.74688383768003	0.133938665084219	0.325943746478212	0.0878694412996477	"Briere"	0.533833138	0	0.166428135	0.013492135	267.7129403	0	"beaucoup"	15.85	15.39	15.38	0.3	1	0	"Temporaire"	"Agricole"	NA	42.1817620955
"11"	"107"	32.355	3.49101162446678	218.73	51.7338911690924	0.206521055057546	0.0206611435813103	0.0691422400675127	0.0486568317046676	2.73509946377365	0.135753182464104	0.321771937962359	0.0872849232779165	"Briere"	0.604229829	0	0.048678276	0.000142924	0	4	"intermediaire"	14.68	13	20.56	0.5	1	0	"Temporaire"	"Agricole"	NA	46.3635255232
"12"	"108"	37.476	3.31427343597483	293.747	57.1475181423466	0.207515678170693	0.0181891498829113	0.0475033491273745	0.0448092908014273	2.82086160280081	0.124286280766554	0.343340514085626	0.0796053767603473	"Briere"	0.208107811	0.416476998	0.092616778	0.058284363	917.9703744	4	"peu"	53.07	189.4	11.77	0.9	1	0	"Temporaire"	"Recreationnel"	95	601.842205373
"13"	"109"	39.145	3.4834048155661	321.597	61.5516303130485	0.208321918044831	0.0169797663916052	0.041412024371222	0.0432034689642768	2.84913764293986	0.119404870674865	0.349484615573649	0.0815946997007104	"Briere"	0.194484517	0.346211442	0.153071601	0.102928066	1058.855164	1	"beaucoup"	64.42	261.14	29.08	1.1	0	0	"Permanent"	"Recreationnel"	20	506.954534728
"14"	"111"	31.815	3.48294500472027	212.736	50.5563076603132	0.207731418820401	0.0211825924123906	0.0680045591878635	0.0485248825243811	2.7232518099951	0.13584148349282	0.318335874832191	0.0838087497682758	"Briere"	0.173260785	0.333594073	0.261815091	0.0828384	1430.709483	2	"peu"	21.59	34.11	21.18	0.5	1	0	"Temporaire"	"Agricole"	40	556.036919123
"15"	"112"	39.673	3.42926097444199	330.199	63.9395626092849	0.208080587415888	0.0168251917017037	0.041154324285536	0.0426319457862124	2.8556791222202	0.118462437162282	0.354021805801605	0.0804783824945208	"Briere"	0.046931553	0.006661375	0.814268946	0.025453363	1617.825203	3	"intermediaire"	53.09	179.28	8.53	0.25	1	0	"Permanent"	"Agricole"	30	181.562088195
"16"	"1123"	60.59	1.45258735021685	763.671	39.8412359632967	0.207896148403618	0.00433300222697612	0.00340531596089016	0.00397645465231387	3.06343282965089	0.0367192768128975	0.412273300119091	0.0258900399314206	"Briere"	0.262353768	0.097109125	0.14960703	0.005330751	342.930408	2	"beaucoup"	358.57	7022.79	9.69	2.983101387	1	1	"Permanent"	"Agricole"	0	0
"17"	"114"	33.687	3.53206830433763	238.181	54.9009868523086	0.207502754932369	0.0205393442619142	0.0608845103285245	0.0477545497967351	2.7544852778531	0.137450300598696	0.324244177159101	0.0833210706593444	"Briere"	0.036648079	0.530458088	0.352899753	0.024916902	2179.593339	3	"peu"	45.67	134.97	24.62	1.25	0	0	"Temporaire"	"Agricole"	100	911.407444709
"18"	"1141"	34.632	3.64030600744331	252.821	57.1483761439981	0.208559855372539	0.0197359961833891	0.0577720654333409	0.0477997076974695	2.77714634793286	0.138247259649948	0.332589299727836	0.0888633719472759	"Briere"	0.162718768	0.174214402	0.262489216	0.144198906	481.828879	2	"beaucoup"	59.05	227	13.13	0.75	0	0	"Permanent"	"Recreationnel"	NA	1031.61706663
