"Site"	"n"	"L"	"C"	"Modularity"	"Mean_trophic_level"	"Mean_Omnivory_Index"	"Richesse_spe"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"
"1"	"100"	22	147	0.303719008264463	0.0677984429065744	3.04442147846506	0.626185141308018	22	"Briere"	0.037828692	0.285287742	0.554322988	0.028634105	1987.679437	0	"intermediaire"	37.38	87.15	21.8	1.2	0	0	"Permanent"	"Agricole"	10	600.26552984
"2"	"101"	25	189	0.3024	0.0281064088696592	3.00821374372887	0.621399786642728	25	"Briere"	0.046113988	0.296274602	0.597429248	0.026819522	1356.661423	1	"beaucoup"	95.43	484.44	19.54	1.2	0	0	"Permanent"	"Agricole"	50	369.584276851
"3"	"1011"	7	10	0.204081632653061	0.195	1.61309523809524	0.103918650793651	7	"Briere"	0.051968793	0.057297595	0.641160666	0.216715066	1213.774599	2	"peu"	81.87	348.02	16.04	0.4	0	1	"Temporaire"	"Recreationnel"	30	446.811718668
"4"	"1016"	23	149	0.281663516068053	0.0498890817901234	2.42728299700819	0.255457319450042	23	"Briere"	0.424565654	0.254446551	0.257066864	0.035720376	489.9941207	3	"peu"	146.56	1079.13	20.35	1	1	0	"Permanent"	"Recreationnel"	95	606.372590732
"5"	"1038"	21	115	0.260770975056689	0.0627685950413222	2.57663870817279	0.379836677492868	21	"Mes"	0.085426859	0.302328369	0.376948625	0.177097769	1524.011903	3	"beaucoup"	35.53	82.22	29.9	3.69939854	1	0	"Permanent"	"Recreationnel"	NA	2169.83644975
"6"	"1038bis"	21	112	0.253968253968254	0.074181203275187	2.57643795586735	0.475171212208082	21	"Mes"	0.090478864	0.316133551	0.357603816	0.171891432	1627.795889	5	"intermediaire"	43.08	108.86	15.82	0.7	1	0	"Permanent"	"Recreationnel"	NA	2173.93975892
"7"	"104"	18	89	0.274691358024691	0	2.56362173516723	0.46192809697139	18	"Briere"	0.245368627	0.286136331	0.075456337	0.020280111	1359.721057	1	"intermediaire"	26.27	52.27	16.04	0.6	1	0	"Temporaire"	"Agricole"	NA	7.70789835116
"8"	"1040"	11	32	0.264462809917355	0.08544921875	1.94251082251082	0.21839864229025	11	"Briere"	0.06192122	0	0.625990328	0.01584028	1995.787044	2	"peu"	173.7	2142.52	16.92	2.509043622	1	1	"Permanent"	"Agricole"	10	9.68302464485
"9"	"105"	8	18	0.28125	0.123456790123457	1.75807291666667	0.219901557074653	8	"Briere"	0.33479565	0.194832657	0.395733099	0.029719842	1528.128917	1	"peu"	30.81	61.88	35.47	1.4	0	0	NA	"Agricole"	NA	170.176153905
"10"	"106"	12	37	0.256944444444444	0.13265306122449	2.32245762711864	0.414123489423648	12	"Briere"	0.533833138	0	0.166428135	0.013492135	267.7129403	0	"beaucoup"	15.85	15.39	15.38	0.3	1	0	"Temporaire"	"Agricole"	NA	42.1817620955
"11"	"107"	6	5	0.138888888888889	0.22	1.54166666666667	0.114583333333333	6	"Briere"	0.604229829	0	0.048678276	0.000142924	0	4	"intermediaire"	14.68	13	20.56	0.5	1	0	"Temporaire"	"Agricole"	NA	46.3635255232
"12"	"108"	10	27	0.27	0.0493827160493827	1.96898148148148	0.201460601708962	10	"Briere"	0.208107811	0.416476998	0.092616778	0.058284363	917.9703744	4	"peu"	53.07	189.4	11.77	0.9	1	0	"Temporaire"	"Recreationnel"	95	601.842205373
"13"	"109"	12	36	0.25	0.046938775510204	2.12007936507937	0.296003123561677	12	"Briere"	0.194484517	0.346211442	0.153071601	0.102928066	1058.855164	1	"beaucoup"	64.42	261.14	29.08	1.1	0	0	"Permanent"	"Recreationnel"	20	506.954534728
"14"	"111"	16	65	0.25390625	0.0767195767195766	2.15212035707818	0.288917390517055	16	"Briere"	0.173260785	0.333594073	0.261815091	0.0828384	1430.709483	2	"peu"	21.59	34.11	21.18	0.5	1	0	"Temporaire"	"Agricole"	40	556.036919123
"15"	"112"	29	214	0.254458977407848	0	2.55061718340756	0.285102516889224	29	"Briere"	0.046931553	0.006661375	0.814268946	0.025453363	1617.825203	3	"intermediaire"	53.09	179.28	8.53	0.25	1	0	"Permanent"	"Agricole"	30	181.562088195
"16"	"1123"	13	44	0.260355029585799	0.060302866414278	2.24963783862089	0.342991402920087	13	"Briere"	0.262353768	0.097109125	0.14960703	0.005330751	342.930408	2	"beaucoup"	358.57	7022.79	9.69	2.983101387	1	1	"Permanent"	"Agricole"	0	0
"17"	"114"	10	24	0.24	0.0616319444444444	1.95034722222222	0.204671927244084	10	"Briere"	0.036648079	0.530458088	0.352899753	0.024916902	2179.593339	3	"peu"	45.67	134.97	24.62	1.25	0	0	"Temporaire"	"Agricole"	100	911.407444709
"18"	"1141"	10	23	0.23	0.0529300567107751	1.97888888888889	0.178997942386832	10	"Briere"	0.162718768	0.174214402	0.262489216	0.144198906	481.828879	2	"beaucoup"	59.05	227	13.13	0.75	0	0	"Permanent"	"Recreationnel"	NA	1031.61706663
"19"	"115"	22	132	0.272727272727273	0	3.0368916813392	0.644710354723301	22	"Briere"	0.045445132	0.483904386	0.38008965	0.027824275	2547.248535	3	"intermediaire"	61.51	204.7	34.99	2.2	0	0	"Permanent"	"Agricole"	45	969.682990291
"20"	"116"	6	5	0.138888888888889	0.22	1.54166666666667	0.114583333333333	6	"Mes"	0.142898171	0.229496371	0.215136133	0.122165345	697.3736081	1	"peu"	94.39	401.67	23.03	0.75	0	1	"Permanent"	"Recreationnel"	NA	1238.47367734
"21"	"1178"	10	26	0.26	0.0502958579881658	1.94166666666667	0.155443948412699	10	"Briere"	0.318068057	0.138828172	0.449840784	0.042266833	398.1906515	2	"intermediaire"	82.27	340.82	12.68	0.5	1	1	"Permanent"	"Agricole"	50	17.9188097598
"22"	"1179"	10	24	0.24	0.184027777777778	1.89756944444444	0.180394904996142	10	"Briere"	0.345713257	0.148975167	0.268695028	0.01747242	509.9431604	6	"beaucoup"	256.61	3881.87	8.53	2.178402832	1	1	"Permanent"	"Agricole"	0	0
"23"	"118"	10	22	0.22	0.0770975056689341	1.92978927203065	0.243369133600505	10	"Briere"	0.012859528	0.059560412	0.478792177	0.015766512	1412.803095	0	"intermediaire"	98.78	431.34	12.13	0.35	1	0	"Permanent"	"Agricole"	20	0
"24"	"1180"	5	6	0.24	0	1.325	0.134375	5	"Briere"	0.00069588	0.179424358	0.74224704	0.016422427	1677.037142	1	"peu"	58.29	234.29	25.99	0.9	0	0	"Permanent"	"Recreationnel"	100	327.062643482
"25"	"119"	6	9	0.25	0	1.44166666666667	0.160916666666667	6	"Briere"	0.602306733	0.014842287	0	0.004233578	0	4	"peu"	57.2	132.77	20.14	0.95	1	1	"Temporaire"	"Agricole"	50	9.66767332478
"26"	"1199"	12	40	0.277777777777778	0.03875	2.10942150297619	0.196422042093775	12	"Briere"	0.230328379	0.066086048	0.18886701	0.009167783	0	3	"intermediaire"	87.25	576.43	9.93	0.7	1	1	"Permanent"	"Agricole"	10	0
"27"	"120"	7	8	0.163265306122449	0.3671875	1.58333333333333	0.168320105820105	7	"Briere"	0.208156021	0	0.040318009	0	0	4	"peu"	12.87	9.58	8.53	0.4	1	0	"Temporaire"	"Agricole"	100	23.5549864077
"28"	"1203"	15	57	0.253333333333333	0.146205357142857	2.25161220043573	0.307286156433927	15	"Briere"	0.187838214	0	0.57784872	0.017234176	1762.173088	1	"beaucoup"	83.62	118.25	9.23	0.4	1	1	"Temporaire"	"Agricole"	100	42.8237750817
"29"	"120bis"	8	10	0.15625	0.12	1.84375	0.12890625	8	"Briere"	0.204517451	0	0.04097899	0	0	4	"peu"	26.73	41.56	14.04	0.65	1	0	"Temporaire"	"Agricole"	NA	28.3372066841
"30"	"121"	8	10	0.15625	0.315	1.75	0.169921875	8	"Briere"	0.189568614	0	0.040128602	0	0	4	"peu"	87.03	155.06	11.59	0.45	1	0	"Temporaire"	"Agricole"	100	18.047843799
"31"	"122"	9	15	0.185185185185185	0.288265306122449	1.87865497076023	0.224442136041858	9	"Briere"	0.191035573	0	0.021558023	0	0	4	"peu"	24.49	39.15	13.36	0.45	1	0	"Temporaire"	"Agricole"	100	27.7512937314
"32"	"122bis"	8	10	0.15625	0.315	1.75	0.169921875	8	"Briere"	0.186226523	0	0.018985477	0	0	2	"peu"	35.63	84.96	16.04	0.7	1	0	"Temporaire"	"Agricole"	NA	17.7211763309
"33"	"123"	5	7	0.28	0	1.28	0.1806	5	"Briere"	0.030783777	0.049111736	0.231553555	0.42228546	308.2160749	2	"peu"	77.38	393.36	18.97	1.1	1	0	"Permanent"	"Recreationnel"	NA	627.369908078
"34"	"125"	5	3	0.12	0	1.4	0.125	5	"Mes"	0.139504781	0.082316146	0.347636859	0.06362193	757.2567308	2	"peu"	11.63	7.3	14.04	0.6	0	0	NA	"Agricole"	NA	923.469212346
"35"	"126"	6	10	0.277777777777778	0	1.46354166666667	0.198689778645833	6	"Mes"	0.089857993	0.200870261	0.239549452	0.379813808	1516.483963	3	"beaucoup"	82.57	427.56	17.74	0.8	0	0	"Permanent"	"Recreationnel"	NA	1820.44004602
"36"	"127"	6	7	0.194444444444444	0	1.5	0.190586419753086	6	"Mes"	0.141835654	0.128070126	0.247696052	0.355700655	1201.303086	3	"beaucoup"	46.42	144.67	29.18	0.9	0	0	NA	"Recreationnel"	NA	1952.65352252
"37"	"128"	6	6	0.166666666666667	0	1.27083333333333	0.111979166666667	6	"Mes"	0.169254328	0.432162366	0.309211724	0.01813304	987.923048	5	"peu"	33.78	75.33	41.99	1.6	0	1	"Permanent"	"Agricole"	NA	1878.64988552
"38"	"129"	10	29	0.29	0	1.88723958333333	0.225740434309092	10	"Mes"	0.204658508	0.300487918	0.282518122	0.015941936	1489.963819	3	"beaucoup"	77.48	217.2	8.18	0.3	1	0	"Temporaire"	"Agricole"	NA	1727.4482415
"39"	"131"	7	14	0.285714285714286	0.150887573964497	1.67602040816326	0.236320912293488	7	"Mes"	0.290746847	0.459936474	0.094344071	0.016327443	567.4815493	5	"intermediaire"	31.86	72.99	11.31	0.5	0	0	NA	"Agricole"	NA	1536.91476205
"40"	"132"	9	20	0.246913580246914	0.10875	1.85555555555555	0.172882962962963	9	"Mes"	0.298785278	0.450416118	0.099682436	0.014804864	532.579637	1	"beaucoup"	32.99	55.93	11.31	0.3	1	0	NA	"Agricole"	NA	1534.08199085
"41"	"134"	8	15	0.234375	0	1.8421875	0.19339453125	8	"Mes"	0.042981658	0.745450679	0.153609535	0.018675607	803.8133911	2	"peu"	37.4	77.93	7.13	0.6	0	0	NA	"Agricole"	NA	1811.75982792
"42"	"136"	8	16	0.25	0	1.82942708333333	0.17185804578993	8	"Mes"	0.045492705	0.361508108	0.442727153	0.034487191	1201.794939	2	"peu"	51.97	156.46	36.56	1.25	0	0	NA	"Agricole"	NA	1828.5575051
"43"	"140"	8	17	0.265625	0.150519031141869	1.65277777777778	0.204931327160494	8	"Mes"	0.166871648	0.149759238	0.124728624	0.080326171	930.4962901	2	"peu"	43.7	128.94	12.23	0.35	1	1	"Permanent"	"Agricole"	NA	2660.08490189
"44"	"141"	17	80	0.27681660899654	0	2.41888503415381	0.475545252041281	17	"Mes"	0.189935662	0.16342379	0.394342295	0.056803151	1180.58004	1	"peu"	47.65	126.51	26.18	1.25	1	0	"Permanent"	"Agricole"	NA	2526.25784383
